RELEASE,NFILES,ALOC,DLOC,STAGE,BUGS
2.19,0,0,0,Design,0
2.19,57,86,79,Development,53
2.19,0,0,0,Testing,51
2.19,0,0,0,Audit,0
2.19,57,86,79,Production,113
2.26,0,0,0,Design,0
2.26,1671,2028,2005,Development,0
2.26,0,0,0,Testing,0
2.26,0,0,0,Audit,0
2.26,1671,2028,2005,Production,0
2.25,0,0,0,Design,0
2.25,749,938,865,Development,0
2.25,0,0,0,Testing,0
2.25,0,0,0,Audit,0
2.25,749,938,865,Production,0
2.24,0,0,0,Design,0
2.24,1154,1540,1316,Development,0
2.24,0,0,0,Testing,0
2.24,0,0,0,Audit,0
2.24,1154,1540,1316,Production,0
2.23,0,0,0,Design,0
2.23,358,488,384,Development,0
2.23,0,0,0,Testing,0
2.23,0,0,0,Audit,0
2.23,358,488,384,Production,0
2.22,0,0,0,Design,0
2.22,266,316,335,Development,0
2.22,0,0,0,Testing,0
2.22,0,0,0,Audit,0
2.22,266,316,335,Production,0
2.21,0,0,0,Design,0
2.21,503,676,585,Development,2
2.21,0,0,0,Testing,0
2.21,0,0,0,Audit,0
2.21,503,676,585,Production,10
2.20,0,0,0,Design,0
2.20,224,254,279,Development,23
2.20,0,0,0,Testing,0
2.20,0,0,0,Audit,0
2.20,224,254,279,Production,39
